model,dataset,parameters,accuracy,precision/black_bishop,precision/black_king,precision/black_knight,precision/black_pawn,precision/black_queen,precision/black_rook,precision/white_bishop,precision/white_king,precision/white_knight,precision/white_pawn,precision/white_queen,precision/white_rook,recall/black_bishop,recall/black_king,recall/black_knight,recall/black_pawn,recall/black_queen,recall/black_rook,recall/white_bishop,recall/white_king,recall/white_knight,recall/white_pawn,recall/white_queen,recall/white_rook,f1_score/black_bishop,f1_score/black_king,f1_score/black_knight,f1_score/black_pawn,f1_score/black_queen,f1_score/black_rook,f1_score/white_bishop,f1_score/white_king,f1_score/white_knight,f1_score/white_pawn,f1_score/white_queen,f1_score/white_rook,confusion_matrix/0/0,confusion_matrix/0/1,confusion_matrix/0/2,confusion_matrix/0/3,confusion_matrix/0/4,confusion_matrix/0/5,confusion_matrix/0/6,confusion_matrix/0/7,confusion_matrix/0/8,confusion_matrix/0/9,confusion_matrix/0/10,confusion_matrix/0/11,confusion_matrix/1/0,confusion_matrix/1/1,confusion_matrix/1/2,confusion_matrix/1/3,confusion_matrix/1/4,confusion_matrix/1/5,confusion_matrix/1/6,confusion_matrix/1/7,confusion_matrix/1/8,confusion_matrix/1/9,confusion_matrix/1/10,confusion_matrix/1/11,confusion_matrix/2/0,confusion_matrix/2/1,confusion_matrix/2/2,confusion_matrix/2/3,confusion_matrix/2/4,confusion_matrix/2/5,confusion_matrix/2/6,confusion_matrix/2/7,confusion_matrix/2/8,confusion_matrix/2/9,confusion_matrix/2/10,confusion_matrix/2/11,confusion_matrix/3/0,confusion_matrix/3/1,confusion_matrix/3/2,confusion_matrix/3/3,confusion_matrix/3/4,confusion_matrix/3/5,confusion_matrix/3/6,confusion_matrix/3/7,confusion_matrix/3/8,confusion_matrix/3/9,confusion_matrix/3/10,confusion_matrix/3/11,confusion_matrix/4/0,confusion_matrix/4/1,confusion_matrix/4/2,confusion_matrix/4/3,confusion_matrix/4/4,confusion_matrix/4/5,confusion_matrix/4/6,confusion_matrix/4/7,confusion_matrix/4/8,confusion_matrix/4/9,confusion_matrix/4/10,confusion_matrix/4/11,confusion_matrix/5/0,confusion_matrix/5/1,confusion_matrix/5/2,confusion_matrix/5/3,confusion_matrix/5/4,confusion_matrix/5/5,confusion_matrix/5/6,confusion_matrix/5/7,confusion_matrix/5/8,confusion_matrix/5/9,confusion_matrix/5/10,confusion_matrix/5/11,confusion_matrix/6/0,confusion_matrix/6/1,confusion_matrix/6/2,confusion_matrix/6/3,confusion_matrix/6/4,confusion_matrix/6/5,confusion_matrix/6/6,confusion_matrix/6/7,confusion_matrix/6/8,confusion_matrix/6/9,confusion_matrix/6/10,confusion_matrix/6/11,confusion_matrix/7/0,confusion_matrix/7/1,confusion_matrix/7/2,confusion_matrix/7/3,confusion_matrix/7/4,confusion_matrix/7/5,confusion_matrix/7/6,confusion_matrix/7/7,confusion_matrix/7/8,confusion_matrix/7/9,confusion_matrix/7/10,confusion_matrix/7/11,confusion_matrix/8/0,confusion_matrix/8/1,confusion_matrix/8/2,confusion_matrix/8/3,confusion_matrix/8/4,confusion_matrix/8/5,confusion_matrix/8/6,confusion_matrix/8/7,confusion_matrix/8/8,confusion_matrix/8/9,confusion_matrix/8/10,confusion_matrix/8/11,confusion_matrix/9/0,confusion_matrix/9/1,confusion_matrix/9/2,confusion_matrix/9/3,confusion_matrix/9/4,confusion_matrix/9/5,confusion_matrix/9/6,confusion_matrix/9/7,confusion_matrix/9/8,confusion_matrix/9/9,confusion_matrix/9/10,confusion_matrix/9/11,confusion_matrix/10/0,confusion_matrix/10/1,confusion_matrix/10/2,confusion_matrix/10/3,confusion_matrix/10/4,confusion_matrix/10/5,confusion_matrix/10/6,confusion_matrix/10/7,confusion_matrix/10/8,confusion_matrix/10/9,confusion_matrix/10/10,confusion_matrix/10/11,confusion_matrix/11/0,confusion_matrix/11/1,confusion_matrix/11/2,confusion_matrix/11/3,confusion_matrix/11/4,confusion_matrix/11/5,confusion_matrix/11/6,confusion_matrix/11/7,confusion_matrix/11/8,confusion_matrix/11/9,confusion_matrix/11/10,confusion_matrix/11/11
VITB16,test,85807884,0.994178963043184,0.9946949602122016,0.993993993993994,0.9856733524355301,0.9978969505783386,0.9954545454545455,1.0,0.9869451697127938,0.9660056657223796,0.9910714285714286,0.9973684210526316,0.9954337899543378,0.9941634241245136,0.981675392670157,0.9678362573099415,0.9971014492753624,0.9978969505783386,0.9954545454545455,0.9881656804733728,0.9973614775725593,0.9970760233918129,0.9910714285714286,0.9984193888303478,0.9775784753363229,1.0,0.9881422924901185,0.9807407407407408,0.9913544668587897,0.9978969505783386,0.9954545454545455,0.9940476190476192,0.9921259842519685,0.9812949640287769,0.9910714285714286,0.9978936282253819,0.9864253393665159,0.9970731707317073,375,1,0,0,1,0,0,0,0,0,0,0,2,331,0,0,0,0,0,0,0,0,0,0,1,2,344,1,0,1,0,0,0,0,0,0,0,1,0,1898,0,2,0,0,0,1,0,0,0,1,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,4,0,0,0,0,0,378,0,1,0,0,0,0,6,0,0,0,0,0,341,1,1,4,0,0,0,1,0,0,1,0,0,333,1,0,0,0,0,0,3,0,0,1,0,1,1895,0,0,0,0,0,0,0,0,0,1,0,0,218,0,0,0,0,0,0,2,0,0,0,0,1,511
ResNet,test,11182668,0.9982401516177067,1.0,1.0,1.0,0.9994739610731194,1.0,0.9960474308300395,0.994750656167979,0.9970760233918129,1.0,0.9973725696269049,0.9955357142857143,0.9980392156862745,1.0,1.0,1.0,0.9989484752891693,0.9954545454545455,0.9940828402366864,1.0,0.9970760233918129,0.9880952380952381,1.0,1.0,0.9960861056751468,1.0,1.0,1.0,0.9992111490928214,0.9977220956719818,0.9950641658440276,0.9973684210526316,0.9970760233918129,0.9940119760479043,0.9986845566956064,0.9977628635346756,0.9970617042115573,382,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,1900,0,1,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,2,0,0,0,0,0,0,379,0,2,0,0,0,0,0,0,0,0,0,0,341,1,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,2,0,2,0,0,1,1898,0,0,0,0,0,0,1,0,0,0,0,0,223,0,0,0,0,0,0,0,0,1,0,0,0,509
InceptionV3,test,24377080,0.9993231352375795,1.0,1.0,1.0,0.9994739610731194,1.0,1.0,1.0,1.0,1.0,0.998421052631579,0.9955357142857143,1.0,1.0,1.0,1.0,0.9989484752891693,1.0,1.0,0.9973614775725593,1.0,0.9970238095238095,0.9994731296101159,1.0,1.0,1.0,1.0,1.0,0.9992111490928214,1.0,1.0,0.9986789960369881,1.0,0.9985096870342772,0.9989468141126909,0.9977628635346756,1.0,382,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,1900,0,0,0,0,0,1,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,2,0,0,0,0,1,1897,0,0,0,0,0,0,0,0,1,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,511
MaxVit,test,30413780,0.9997292540950318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989473684210526,1.0,1.0,1.0,1.0,1.0,0.9994742376445847,1.0,1.0,1.0,1.0,0.9970238095238095,1.0,1.0,1.0,1.0,1.0,1.0,0.9997370496976071,1.0,1.0,1.0,1.0,0.9985096870342772,0.9994734070563455,1.0,1.0,382,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,1,0,0,0,0,1,1898,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,511
