model,dataset,parameters,accuracy,precision/empty,precision/occupied,recall/empty,recall/occupied,f1_score/empty,f1_score/occupied,confusion_matrix/0/0,confusion_matrix/0/1,confusion_matrix/1/0,confusion_matrix/1/1
ResNet,test,11177538,0.9990862573099415,0.999035081673444,0.9991868816912861,0.9995862354320392,0.9981047786652227,0.9993105825577387,0.9986455370445619,14495,14,6,7373
MaxVit,test,30408650,0.9997258771929824,0.9997241949941391,0.9997291807718348,0.9998620784773464,0.9994585081900637,0.9997931319817956,0.9995938261575955,14499,4,2,7383
